;ID;Player;Team;GP;W;L;MIN;Dist. Feet;DistMiles;DistMilesOff;DistMilesDef;AvgSpeed;AvgSpeedOff;AvgSpeedDef
1;2585;Zaza Pachulia;DAL;76;40;36;            26.4;            9201.1;            1.74;            0.92;            0.83;            3.96;            4.07;            3.85
2;2216;Zach Randolph;MEM;68;37;31;            29.6;            9961.4;            1.89;            1.00;            0.89;            3.81;            3.88;            3.73
3;203897;Zach LaVine;MIN;82;29;53;            28.0;            10646.9;            2.02;            1.05;            0.96;            4.33;            4.59;            4.06
4;204098;Xavier Munford;MEM;14;3;11;            17.4;            6962.1;            1.32;            0.72;            0.60;            4.53;            4.90;            4.15
5;203186;Willie Reed;BKN;39;8;31;            10.9;            4015.5;            0.76;            0.41;            0.35;            4.16;            4.43;            3.93
6;1626161;Willie Cauley-Stein;SAC;65;26;39;            21.4;            8489.4;            1.61;            0.85;            0.76;            4.49;            4.86;            4.14
7;203115;Will Barton;DEN;82;33;49;            28.7;            10544.6;            2.00;            1.10;            0.90;            4.16;            4.60;            3.73
8;202083;Wesley Matthews;DAL;78;40;38;            33.9;            12483.8;            2.36;            1.30;            1.06;            4.18;            4.51;            3.84
9;202325;Wesley Johnson;LAC;80;51;29;            20.8;            7665.3;            1.45;            0.76;            0.69;            4.17;            4.38;            3.95
10;201961;Wayne Ellington;BKN;76;18;58;            21.3;            8095.8;            1.53;            0.83;            0.71;            4.32;            4.60;            4.04
11;1713;Vince Carter;MEM;60;33;27;            16.8;            5878.4;            1.11;            0.61;            0.51;            3.98;            4.30;            3.64
12;203506;Victor Oladipo;ORL;71;32;39;            32.9;            12904.0;            2.44;            1.31;            1.13;            4.45;            4.81;            4.10
13;2617;Udonis Haslem;MIA;37;25;12;            7.0;            2341.7;            0.44;            0.24;            0.20;            3.77;            3.99;            3.53
14;1626145;Tyus Jones;MIN;37;13;24;            15.5;            6092.0;            1.15;            0.60;            0.55;            4.47;            4.78;            4.17
15;2199;Tyson Chandler;PHX;66;18;48;            24.5;            8335.9;            1.58;            0.83;            0.75;            3.86;            4.03;            3.69
16;201936;Tyreke Evans;NOP;25;11;14;            30.6;            10764.9;            2.04;            1.14;            0.90;            4.00;            4.57;            3.43
17;203092;Tyler Zeller;BOS;59;37;22;            11.8;            4425.4;            0.84;            0.45;            0.39;            4.25;            4.67;            3.82
18;204020;Tyler Johnson;MIA;36;19;17;            24.0;            9005.4;            1.71;            0.93;            0.77;            4.25;            4.57;            3.92
19;201946;Tyler Hansbrough;CHA;44;28;16;            7.8;            2799.6;            0.53;            0.28;            0.25;            4.07;            4.18;            3.94
20;203898;Tyler Ennis;MIL;46;17;29;            14.2;            5562.3;            1.05;            0.57;            0.48;            4.44;            4.84;            4.03
21;201951;Ty Lawson;IND;66;31;35;            21.4;            7986.4;            1.51;            0.79;            0.73;            4.23;            4.52;            3.97
22;203584;Troy Daniels;CHA;43;25;18;            11.1;            4461.0;            0.84;            0.47;            0.38;            4.56;            4.96;            4.14
23;202684;Tristan Thompson;CLE;82;57;25;            27.7;            10334.6;            1.96;            1.06;            0.89;            4.24;            4.46;            4.01
24;1626168;Trey Lyles;UTA;80;38;42;            17.3;            6400.0;            1.21;            0.68;            0.54;            4.20;            4.43;            3.94
25;203504;Trey Burke;UTA;64;31;33;            21.3;            8104.0;            1.53;            0.87;            0.67;            4.31;            4.66;            3.93
26;202344;Trevor Booker;UTA;79;39;40;            20.7;            7800.4;            1.48;            0.83;            0.65;            4.28;            4.57;            3.96
27;2772;Trevor Ariza;HOU;81;40;41;            35.3;            12409.9;            2.35;            1.18;            1.17;            3.99;            4.16;            3.83
28;203100;Tony Wroten;NYK;8;0;8;            18.0;            7061.8;            1.34;            0.74;            0.60;            4.45;            4.90;            4.00
29;203503;Tony Snell;CHI;64;33;31;            20.3;            7491.8;            1.42;            0.76;            0.66;            4.18;            4.55;            3.83
30;2225;Tony Parker;SAS;72;59;13;            27.5;            10981.6;            2.08;            1.22;            0.86;            4.53;            5.08;            3.93
31;2754;Tony Allen;MEM;64;34;30;            25.3;            9164.9;            1.74;            0.90;            0.83;            4.11;            4.19;            4.03
32;201962;Toney Douglas;NOP;61;22;39;            20.7;            8496.4;            1.61;            0.87;            0.74;            4.66;            5.14;            4.19
33;202699;Tobias Harris;DET;75;37;38;            32.9;            12431.2;            2.35;            1.29;            1.06;            4.28;            4.71;            3.86
34;202389;Timofey Mozgov;CLE;76;52;24;            17.4;            6716.0;            1.27;            0.70;            0.57;            4.38;            4.77;            3.99
35;203501;Tim Hardaway Jr.;ATL;51;29;22;            16.9;            6314.3;            1.20;            0.62;            0.58;            4.22;            4.60;            3.88
36;204025;Tim Frazier;NOP;51;25;26;            14.5;            5461.2;            1.03;            0.57;            0.47;            4.26;            4.70;            3.83
37;1495;Tim Duncan;SAS;61;50;11;            25.2;            8384.8;            1.59;            0.86;            0.72;            3.78;            3.93;            3.61
38;202353;Tibor Pleiss;UTA;12;7;5;            6.8;            2442.1;            0.46;            0.26;            0.21;            4.12;            4.34;            3.90
39;201168;Tiago Splitter;ATL;36;21;15;            16.1;            5884.3;            1.11;            0.58;            0.53;            4.14;            4.46;            3.85
40;203080;Thomas Robinson;BKN;71;16;55;            12.9;            4791.4;            0.91;            0.49;            0.42;            4.20;            4.44;            3.95
41;203648;Thanasis Antetokounmpo;NYK;2;1;1;            3.1;            1293.5;            0.24;            0.12;            0.13;            4.76;            4.35;            5.07
42;201152;Thaddeus Young;BKN;73;21;52;            33.0;            12291.5;            2.33;            1.25;            1.08;            4.23;            4.53;            3.92
43;200757;Thabo Sefolosha;ATL;75;42;33;            23.4;            8743.6;            1.66;            0.85;            0.80;            4.23;            4.52;            3.96
44;1626179;Terry Rozier;BOS;38;23;15;            8.1;            3202.7;            0.61;            0.32;            0.28;            4.45;            4.76;            4.18
45;203082;Terrence Ross;TOR;72;52;20;            24.0;            9034.6;            1.71;            0.94;            0.77;            4.27;            4.52;            3.99
46;203093;Terrence Jones;HOU;50;24;26;            20.9;            7537.6;            1.43;            0.75;            0.68;            4.09;            4.38;            3.81
47;2419;Tayshaun Prince;MIN;77;27;50;            19.0;            6685.7;            1.27;            0.65;            0.61;            4.00;            4.16;            3.85
48;204028;Tarik Black;LAL;39;6;33;            12.7;            4669.4;            0.88;            0.48;            0.40;            4.16;            4.60;            3.72
49;201959;Taj Gibson;CHI;73;37;36;            26.5;            9524.9;            1.80;            0.96;            0.85;            4.08;            4.35;            3.81
50;203933;TJ Warren;PHX;47;14;33;            22.8;            8803.0;            1.67;            0.87;            0.79;            4.37;            4.55;            4.19
51;204456;TJ McConnell;PHI;81;10;71;            19.8;            8401.0;            1.59;            0.90;            0.70;            4.81;            5.24;            4.35
52;203500;Steven Adams;OKC;80;54;26;            25.2;            9339.0;            1.77;            0.97;            0.80;            4.20;            4.76;            3.68
53;200779;Steve Novak;MIL;10;8;2;            4.4;            1679.2;            0.32;            0.19;            0.13;            4.33;            4.86;            3.72
54;2581;Steve Blake;DET;58;34;24;            17.0;            6503.5;            1.23;            0.71;            0.53;            4.33;            4.89;            3.76
55;201939;Stephen Curry;GSW;79;71;8;            34.2;            12858.4;            2.44;            1.34;            1.10;            4.26;            5.05;            3.58
56;1626169;Stanley Johnson;DET;73;37;36;            23.1;            8888.5;            1.68;            0.90;            0.78;            4.36;            4.66;            4.05
57;201150;Spencer Hawes;CHA;57;30;27;            18.2;            6486.1;            1.23;            0.68;            0.54;            4.06;            4.44;            3.66
58;203915;Spencer Dinwiddie;CHI;12;5;7;            13.3;            4782.8;            0.91;            0.52;            0.38;            4.10;            4.53;            3.57
59;201603;Sonny Weems;PHX;43;6;37;            11.6;            4352.9;            0.82;            0.43;            0.39;            4.28;            4.53;            3.99
60;203524;Solomon Hill;IND;59;31;28;            14.7;            5278.2;            1.00;            0.53;            0.47;            4.08;            4.41;            3.76
61;202714;Shelvin Mack;UTA;52;27;25;            20.3;            8100.7;            1.53;            0.89;            0.64;            4.52;            5.04;            3.94
62;203963;Shayne Whittington;IND;7;4;3;            5.8;            2285.3;            0.43;            0.24;            0.19;            4.43;            4.89;            4.23
